UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
218399,5,R,75,R,36,R,39,R,0,R,0,R,71,R,3,R,0,R,0,R,1,R,0,R,0,R,0,R,45,R,19,R,11,R,0
218414,5,R,233,R,119,R,114,R,1,R,2,R,68,R,10,R,1,R,109,R,10,R,13,R,19,R,1,R,208,R,17,R,7,R,0
218414,7,R,19,R,13,R,6,R,1,R,0,R,6,R,1,R,0,R,8,R,1,R,2,R,0,R,0,R,14,R,1,R,4,R,0
218441,5,R,305,R,124,R,181,R,0,R,3,R,24,R,15,R,0,R,200,R,10,R,48,R,5,R,0,R,255,R,33,R,17,R,0
218441,7,R,114,R,57,R,57,R,0,R,0,R,8,R,3,R,0,R,66,R,2,R,28,R,7,R,0,R,46,R,50,R,18,R,0
218441,9,R,18,R,4,R,14,R,0,R,0,R,3,R,0,R,0,R,12,R,0,R,3,R,0,R,0,R,0,R,5,R,13,R,0
218441,10,R,14,R,0,R,14,R,0,R,0,R,1,R,1,R,0,R,10,R,1,R,1,R,0,R,0,R,3,R,6,R,5,R,0
218487,2,R,39,R,1,R,38,R,0,R,0,R,21,R,1,R,0,R,16,R,1,R,0,R,0,R,0,R,16,R,16,R,7,R,0
218487,3,R,267,R,78,R,189,R,2,R,1,R,124,R,11,R,0,R,124,R,5,R,0,R,0,R,2,R,130,R,98,R,37,R,0
218487,12,R,306,R,98,R,208,R,1,R,6,R,175,R,13,R,0,R,104,R,7,R,0,R,0,R,6,R,213,R,58,R,29,R,0
218520,2,R,74,R,10,R,64,R,1,R,1,R,35,R,0,R,0,R,30,R,5,R,2,R,0,R,0,R,26,R,43,R,5,R,0
218520,3,R,644,R,207,R,437,R,4,R,2,R,192,R,2,R,1,R,407,R,23,R,13,R,0,R,9,R,282,R,242,R,111,R,0
218520,12,R,984,R,420,R,564,R,5,R,6,R,305,R,3,R,1,R,595,R,34,R,35,R,0,R,32,R,496,R,299,R,157,R,0
218539,5,R,197,R,96,R,101,R,0,R,3,R,31,R,14,R,0,R,130,R,8,R,0,R,11,R,0,R,194,R,3,R,0,R,0
218539,7,R,35,R,6,R,29,R,0,R,0,R,1,R,1,R,0,R,33,R,0,R,0,R,0,R,0,R,11,R,22,R,2,R,0
218539,9,R,47,R,11,R,36,R,0,R,2,R,6,R,2,R,1,R,35,R,1,R,0,R,0,R,0,R,18,R,27,R,2,R,0
218645,5,R,605,R,211,R,394,Z,0,R,5,R,115,R,39,Z,0,R,398,R,32,R,3,R,13,R,1,R,406,R,160,R,38,Z,0
218645,7,R,224,R,108,R,116,Z,0,R,10,R,51,R,15,Z,0,R,138,R,7,R,1,R,2,Z,0,R,32,R,122,R,70,Z,0
218645,12,R,9,R,7,R,2,Z,0,R,1,R,1,R,1,Z,0,R,5,R,1,Z,0,Z,0,Z,0,R,6,R,3,Z,0,Z,0
218654,3,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,Z,0
218654,5,R,377,R,111,R,266,R,1,R,3,R,73,R,35,Z,0,R,237,R,18,R,3,R,7,Z,0,R,267,R,86,R,24,Z,0
218654,7,R,8,R,3,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,R,5,Z,0,Z,0,R,3,Z,0,R,2,R,4,R,2,Z,0
218663,5,R,5903,R,2559,R,3344,R,5,R,260,R,495,R,336,R,4,R,4354,R,248,R,69,R,132,Z,0,R,5570,R,288,R,45,Z,0
218663,7,R,1759,R,618,R,1141,R,3,R,41,R,241,R,74,R,1,R,1139,R,42,R,22,R,196,Z,0,R,579,R,945,R,235,Z,0
218663,9,R,939,R,398,R,541,R,4,R,53,R,84,R,38,R,1,R,580,R,24,R,51,R,104,Z,0,R,99,R,731,R,109,Z,0
218663,10,R,381,R,191,R,190,R,1,R,10,R,49,R,17,R,1,R,223,R,9,R,6,R,65,Z,0,R,124,R,176,R,81,Z,0
218663,12,R,127,R,52,R,75,Z,0,R,9,R,13,R,6,Z,0,R,89,R,4,R,2,R,4,Z,0,R,121,R,6,Z,0,Z,0
218672,3,R,179,R,57,R,122,Z,0,R,4,R,29,R,21,Z,0,R,115,R,7,R,1,R,2,R,8,R,154,R,12,R,5,Z,0
218681,3,R,90,R,32,R,58,Z,0,Z,0,R,25,R,7,Z,0,R,48,R,3,R,3,R,4,R,5,R,76,R,4,R,5,Z,0
