UNITID,AWLEVELC,CSTOTLT,YEAR
120069,02,37,2019
120078,01,313,2019
120078,02,37,2019
120078,03,6,2019
120087,01,111,2019
120087,02,36,2019
120166,05,22,2019
120166,07,22,2019
120184,05,180,2019
120184,07,181,2019
120184,09,3,2019
120254,05,474,2019
120290,01,380,2019
120290,02,14,2019
120290,03,767,2019
120342,01,621,2019
120342,02,2082,2019
120342,03,2058,2019
120403,05,218,2019
120403,07,25,2019
120421,01,390,2019
120421,02,589,2019
120421,03,736,2019
120537,01,46,2019
120537,03,5,2019
120537,05,164,2019
120537,07,152,2019
120537,10,1,2019
120661,01,225,2019
120661,02,91,2019
120661,03,95,2019
120698,05,59,2019
120698,07,219,2019
120698,09,98,2019
120768,05,174,2019
120768,07,211,2019
120795,07,13,2019
120795,09,7,2019
120795,10,6,2019
120838,05,4,2019
120838,07,15,2019
120838,09,6,2019
120865,03,111,2019
120865,05,193,2019
120865,07,1,2019
120883,05,786,2019
120883,07,422,2019
120883,09,591,2019
120953,01,262,2019
120953,02,20,2019
120953,03,143,2019
120971,01,608,2019
120971,02,1578,2019
120971,03,1663,2019
121044,01,161,2019
121044,02,374,2019
121044,03,3207,2019
121150,05,901,2019
121150,07,1427,2019
121150,09,263,2019
121150,10,10,2019
121257,05,264,2019
121275,01,1,2019
121275,03,61,2019
121275,05,42,2019
121309,05,831,2019
121309,07,383,2019
121309,10,3,2019
121345,05,392,2019
121363,01,162,2019
121363,02,85,2019
121363,03,554,2019
121433,01,3,2019
121433,02,40,2019
121619,01,2873,2019
121619,03,1336,2019
121619,05,23,2019
121628,07,20,2019
121628,09,16,2019
121637,01,38,2019
121637,02,24,2019
121691,01,28,2019
121691,02,14,2019
121691,05,670,2019
121691,07,906,2019
121691,09,7,2019
121691,10,14,2019
121707,01,40,2019
121707,02,163,2019
121707,03,442,2019
121859,01,93,2019
121859,02,66,2019
121868,01,86,2019
121868,02,24,2019
121886,01,347,2019
121886,02,528,2019
121886,03,1332,2019
121886,05,10,2019
121901,01,722,2019
121901,02,350,2019
121901,03,2428,2019
121992,01,321,2019
121992,02,26,2019
122117,07,18,2019
122117,09,2,2019
122180,01,167,2019
122180,02,207,2019
122180,03,1449,2019
122205,01,997,2019
122205,02,2388,2019
122205,03,2186,2019
122296,05,527,2019
122296,07,305,2019
122296,09,93,2019
122296,10,8,2019
122339,01,389,2019
122339,02,215,2019
122339,03,928,2019
122375,01,128,2019
122375,02,252,2019
122375,03,1573,2019
122375,05,15,2019
122384,01,468,2019
122384,02,248,2019
122384,03,1059,2019
122409,05,7932,2019
122409,07,1561,2019
122409,09,130,2019
122409,10,124,2019
122436,05,1345,2019
122436,07,1110,2019
122436,09,241,2019
122436,10,128,2019
122454,05,64,2019
122454,07,42,2019
122454,10,1,2019
122506,02,29,2019
122506,05,38,2019
122506,07,70,2019
122506,10,10,2019
122597,05,6355,2019
122597,07,1003,2019
122597,09,55,2019
122597,10,91,2019
122603,07,15,2019
122603,09,6,2019
122603,10,7,2019
122612,05,1579,2019
122612,07,1574,2019
122612,09,165,2019
122612,10,1,2019
122649,09,34,2019
122658,01,384,2019
122658,02,265,2019
122658,03,1867,2019
122685,02,2242,2019
122685,03,1364,2019
122685,05,79,2019
122728,02,8,2019
122728,05,284,2019
122728,07,122,2019
122746,01,242,2019
122746,02,301,2019
122746,03,517,2019
122755,05,6794,2019
122755,07,2831,2019
122755,09,10,2019
122755,10,91,2019
122791,01,389,2019
122791,02,294,2019
122791,03,708,2019
122834,02,88,2019
122834,03,66,2019
122834,05,26,2019
122852,02,55,2019
122852,03,15,2019
122852,05,3,2019
122889,01,147,2019
122889,02,1213,2019
122889,03,1548,2019
122931,05,1277,2019
122931,07,958,2019
122931,09,231,2019
122931,10,90,2019
122977,01,267,2019
122977,02,3741,2019
122977,03,2914,2019
122977,05,22,2019
123013,01,2255,2019
123013,02,456,2019
123013,03,1729,2019
123095,07,60,2019
123095,09,59,2019
123095,10,2,2019
123165,02,1,2019
123165,05,243,2019
123165,10,18,2019
123217,01,861,2019
123217,02,222,2019
123217,03,1305,2019
123280,02,1,2019
123280,03,2,2019
123280,05,7,2019
123280,07,3,2019
123299,01,226,2019
123299,02,408,2019
123299,03,758,2019
123299,05,6,2019
123341,01,285,2019
123341,02,34,2019
123341,03,2242,2019
123350,01,12,2019
123350,02,45,2019
123448,07,35,2019
123448,09,25,2019
123457,05,219,2019
123457,07,40,2019
123484,01,31,2019
123484,02,92,2019
123484,03,285,2019
123493,01,22,2019
123493,02,147,2019
123509,01,259,2019
123509,02,90,2019
123509,03,725,2019
123509,05,2,2019
123527,01,94,2019
123527,02,449,2019
123527,03,969,2019
123554,05,650,2019
123554,07,362,2019
123554,09,5,2019
123554,10,136,2019
123563,01,302,2019
123563,02,47,2019
123563,03,921,2019
123563,05,12,2019
123572,05,2346,2019
123572,07,244,2019
123633,07,99,2019
123633,09,23,2019
123642,02,19,2019
123642,03,6,2019
123651,01,2,2019
123651,03,2,2019
123651,05,453,2019
123651,07,88,2019
123679,01,162,2019
123679,02,53,2019
123679,03,113,2019
123800,01,351,2019
123800,02,484,2019
123800,03,1636,2019
123855,07,13,2019
123916,07,19,2019
123916,10,1,2019
123943,07,52,2019
123943,09,92,2019
123952,05,59,2019
123952,07,119,2019
123961,05,5018,2019
123961,07,9171,2019
123961,09,1859,2019
123961,10,1196,2019
123970,07,10,2019
123970,09,201,2019
124113,01,56,2019
124113,02,3,2019
124113,03,435,2019
124283,07,51,2019
124283,09,52,2019
124292,05,83,2019
124487,03,12,2019
